city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
深圳,81,59,96,1.02,23,127,80,11
石河子,125,94,131,1.6,36,31,20,14
石家庄,97,72,133,1.71,49,15,8,27
十堰,154,117,167,1.68,63,29,21,34
石嘴山,68,31,84,0.98,22,51,43,75
寿光,73,37,94,1.2,27,48,18,30
双鸭山,108,80,74,0.8,20,58,42,25
朔州,98,69,143,1.35,32,35,15,66
四平,62,32,72,0.37,23,53,42,42
松原,58,28,64,0.95,9,59,33,8
绥化,113,82,173,2.25,47,56,30,28
遂宁,125,94,152,1.3,45,11,7,11
随州,174,131,202,1.87,55,18,6,19
宿迁,78,57,77,0.85,33,57,38,17
苏州,57,37,62,0.76,63,40,44,13
宿州,104,77,113,0.93,41,53,36,8
塔城地区,56,23,32,0.8,0,102,106,18
泰安,306,255,379,3.27,81,31,11,50
太仓,62,35,71,0.8,56,53,42,20
太原,107,67,161,1.34,54,18,9,65
台州,71,48,90,1.05,36,63,48,10
泰州,70,50,82,1.35,45,46,40,16
唐山,63,44,67,1.7,38,44,17,32
天津,53,34,54,1.26,39,44,17,31
天水,97,62,142,0.97,32,45,34,21
铁岭,41,14,40,0.25,15,47,27,16
铜川,171,129,250,2.8,66,28,16,88
通化,55,33,57,0.8,10,66,30,21
通辽,23,7,21,0.4,6,60,45,9
铜陵,170,128,185,2.0,81,19,27,39
铜仁地区,39,22,38,1.45,19,37,30,5
吐鲁番地区,144,110,208,2.9,48,24,8,30
瓦房店,30,16,29,0.45,14,52,43,15
潍坊,224,173,249,1.62,46,37,17,33
威海,39,16,38,0.57,13,59,51,8
渭南,352,233,460,3.28,91,4,3,54
文登,32,16,31,0.85,17,56,24,8
文山州,20,10,19,0.75,8,52,37,6
温州,99,74,123,1.0,76,33,26,21
乌海,61,25,69,0.6,14,58,41,14
武汉,120,90,121,1.31,58,25,9,12
芜湖,143,109,136,1.38,58,30,24,22
吴江,67,41,82,1.57,48,53,48,15
五家渠,269,218,354,3.2,59,13,6,4
乌兰察布,31,5,13,0.35,4,76,61,22
乌鲁木齐,142,108,133,2.13,49,27,17,13
武威,108,56,164,1.35,16,68,55,9
无锡,68,38,83,1.1,59,42,35,12
吴忠,54,13,56,0.15,13,41,27,13
梧州,96,71,100,1.13,22,106,62,10
厦门,45,23,44,0.57,12,82,55,4
西安,328,260,441,3.21,104,8,7,69
湘潭,113,84,141,0.91,52,37,17,15
湘西州,81,59,100,0.4,21,40,35,2
襄阳,325,274,344,2.6,73,18,11,30
咸宁,116,87,117,1.55,48,17,12,4
咸阳,368,306,473,3.48,106,7,5,58
孝感,134,99,215,1.6,44,18,8,13
锡林郭勒盟,17,7,15,0.3,14,53,32,25
兴安盟,31,3,12,0.33,2,66,60,8
邢台,110,82,133,1.48,36,32,14,26
西宁,100,55,147,0.78,26,67,31,14
新乡,125,94,198,2.08,68,37,18,34
信阳,303,252,372,2.63,74,17,12,16
新余,127,96,177,1.16,42,51,20,86
忻州,107,79,162,2.47,63,11,7,122
西双版纳州,23,13,22,0.95,18,12,8,11
宣城,150,115,175,1.03,49,48,38,18
许昌,146,98,239,2.43,67,17,7,45
徐州,125,94,147,0.88,44,57,31,30
雅安,168,127,231,1.6,59,45,45,14
延安,87,35,121,1.78,47,37,14,24
延边州,51,12,50,0.67,7,81,72,10
盐城,55,29,58,0.7,14,80,62,12
阳江,116,87,110,1.1,25,142,76,18
阳泉,182,137,221,2.95,87,13,10,108
扬州,88,55,123,1.0,52,28,16,19
烟台,34,19,33,0.58,16,57,32,11
宜宾,231,180,257,1.85,65,26,11,33
宜昌,250,199,260,1.95,68,14,11,17
宜春,146,111,184,1.42,48,41,24,84
伊春,54,37,47,0.53,7,51,33,19
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,150,115,133,1.57,36,42,22,61
银川,49,16,48,0.46,16,62,51,42
营口,40,21,39,0.33,22,59,35,26
鹰潭,99,74,119,0.8,36,77,29,79
义乌,49,29,48,0.55,36,59,29,9
宜兴,80,58,80,1.2,54,39,43,27
益阳,82,54,111,1.36,24,54,34,8
永州,122,92,144,0.96,38,62,36,26
岳阳,116,87,114,1.12,35,53,36,9
玉林,76,55,100,1.2,23,120,52,45
榆林,76,37,100,1.45,43,43,22,42
运城,307,256,387,4.0,80,23,12,158
云浮,116,87,104,1.03,47,111,45,23
玉树州,26,3,18,0.6,1,80,40,2
玉溪,25,11,24,0.77,12,45,20,8
枣庄,100,61,149,0.84,31,70,41,29
张家港,64,30,75,0.7,50,49,40,11
张家界,109,81,125,1.6,26,41,42,5
张家口,30,11,26,0.6,9,67,58,9
章丘,246,195,321,1.3,39,32,11,27
张掖,43,10,42,0.2,7,67,36,13
漳州,60,42,67,0.9,27,111,51,12
湛江,83,61,79,1.05,16,151,98,10
肇庆,175,132,171,1.5,71,66,24,42
昭通,81,56,109,1.05,34,93,39,51
招远,68,40,83,1.15,19,38,21,13
郑州,175,132,269,2.22,67,29,12,37
镇江,100,75,122,0.85,69,22,18,20
中山,94,70,98,0.95,41,107,63,8
中卫,68,38,83,1.0,28,49,48,53
周口,272,221,359,2.7,74,21,16,28
舟山,33,19,28,0.87,13,82,65,7
珠海,97,72,99,0.9,60,95,75,16
诸暨,0,0,0,0.0,0,0,0,0
驻马店,300,249,363,2.63,78,9,6,21
株洲,96,71,125,0.72,37,49,24,19
淄博,170,128,186,1.98,55,26,10,35
自贡,130,98,137,1.3,37,71,45,43
资阳,95,64,138,0.9,23,75,35,12
遵义,24,15,23,1.2,35,19,24,10
